FACILITY ID,WDID,FACILITY NAME,PROGRAM CATEGORY,Reclassification,COMMUNITY TYPE,FEDERAL FACILITY,GW ASSESSMENT,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT
630905,2SSO10094,Belmont CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630763,2SSO10095,Benicia City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630913,2SSO10096,Berkeley City Public Works CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631923,4SSO10370,Beverly Hills City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631706,3SSO10228,Big Basin CS,SSO,RE,TRANSIENT,FALSE,Yes,No,No,No
631244,8SSO10544,Big Bear City CSD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630806,6SSO11128,Big Pine Indian Res CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631714,5SSO10789,Biggs CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630818,6SSO11131,Bishop CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
778055,1SSO11752,Blue Lake City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631158,7SSO10508,Blythe Airport Stf CS,SSO,NR,n/a,FALSE,Yes,No,No,No
631159,7SSO10509,Blythe CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630340,1SSO10003,Bodega Bay CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
709484,2SSO11509,Bolinas Community PUD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630819,6SSO11132,Boron CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
724874,3SSO18092,Boronda Sanitation District CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631176,7SSO10513,Borrego Wd-Rams Hill CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631763,3SSO10326,Boulder Crk Golf & Cntry Club CS,SSO,NR,n/a,FALSE,Yes,No,No,No
631925,4SSO10371,Bradbury City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631717,5SSO10790,Brandy Creek Recreational Area CS,SSO,RE,TRANSIENT,FALSE,Yes,No,No,No
631180,7SSO10514,Brawley WWTP-Npdes CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
256405,8SSO10545,Brea City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630726,6SSO11102,Bridgeport PUD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630917,2SSO10097,"Brisbane, City Of CS",SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
645131,1SSO11441,Brooktrails Township CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
210543,"1B03208RMEN	",Brooktrails Township CSD,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631715,3SSO10231,Buellton CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631524,9SSO10700,Buena CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
256406,8SSO10546,Buena Park City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
656167,5SSO11231,Buena Vista Aquatic Rec Area CS,SSO,RE,TRANSIENT,FALSE,Yes,No,No,No
631932,4SSO10373,"Burbank City, Public Works CS",SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630920,2SSO10098,Burbank SD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630923,2SSO10099,Burlingame City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
752082,2SSO10224,Burlingame Hills SMD,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631720,5SSO10791,Burney CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631457,5SSO10879,Byron Sanitary District CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
645216,5SSO11271,CDC VSPW CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
649194,6SSO11376,CSA 42 CS (Oro Grande),SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
649197,6SSO11379,CSA 64 CS (Spring Valley Lake),SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631620,8SSO10614,CSA 70-S3 (Lytle Creek) CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
711391,5SSO11601,CSA 71.3 CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631087,6SSO11168,CSA 82 CS (Trona & Pioneer Point),SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
649196,6SSO11378,CSA S-7 CS (Lenwood),SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631584,8SSO10600,CSA-53B (Fawskin) CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630867,8SSO11146,CSA-70GH (Glen Helen),SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
649195,6SSO11377,CSA-70SP2 (Oak Hills),SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630826,2SSO10123,CSD No. 2-3 CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631723,3SSO10235,CSU Cal Poly Slo CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631767,4SSO10353,CSU Dominguez Hills CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630715,2SSO10101,CSU East Bay CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631252,8SSO10548,CSU Fullerton CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631769,4SSO10354,CSU Long Beach CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631771,4SSO10355,CSU Los Angeles CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631772,4SSO10356,CSU Northridge CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631750,4SSO10351,CSU Polytechnic Pomona CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631249,8SSO10547,CSU San Bernardino CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630991,#N/A,CSU San Francisco CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
